date,type,registration,operator,fat.,location,Column1,pic,cat
1/4/2001,Learjet 35,N435JL,Air Response North,0,Schenectady-...,,,A1
1/8/2001,Boeing 727-23F,D2-FOO,Air Gemini Cargo,0,Luanda Airpo...,,,A1
1/9/2001,Boeing 727-287,CP-2323,LAB,0,Buenos Aires...,,,A1
1/14/2001,Learjet 60,N1DC,Ark-Air Flight,0,Troy Municip...,,,A1
1/23/2001,Let L-410UVP,9L-LCG,Eagle Aviation ?,0,near Maiduguri,,,A1
1/26/2001,Cessna 500 Citation I,N234UM,Marlin Air,0,Sault Ste Ma...,,,A1
1/31/2001,Douglas DC-6B,N4390F,Everts Air Fuel,0,Donlin Creek...,,,A1
2/1/2001,Antonov An-26,T-224,Angolan AF,0,Luena Airpor...,,,A1
2/4/2001,Shorts 360-100,EI-BPD,Aer Arann,0,Sheffield Ci...,,,A1
2/7/2001,Airbus A320-214,EC-HKJ,Iberia,0,Bilbao Airpo...,,,A1
2/11/2001,CASA C-212-M Aviocar 200,A-9119,Indonesian Army,0,Jakarta-Pond...,,,A1
3/7/2001,Boeing 707-331C,PT-MST,Skymaster Airlines,0,São Paulo-Gu...,,,A1
3/11/2001,Boeing 727-223F,N701NE,Express One,0,Pohnpei Airp...,,,A1
3/15/2001,Douglas C-47A (DC-3),N842MB,Jim Hankins Air Service,0,Donalsonvill...,,,A1
3/23/2001,Boeing 707-3B4C,SU-BMV,Luxor Air Egypt,0,Monrovia-Rob...,,,A1
3/31/2001,DHC-3 Otter,N120BA,Bishop Aviation,0,Decatur-Bish...,,,A1
4/4/2001,Douglas DC-3A-S1C3G,N19BA,Roblex Aviation,0,near San Juan-Lui...,,,A1
4/4/2001,Boeing 737-2E1F,C-GDCC,Royal Airlines,0,St. John's A...,,,A1
4/4/2001,Antonov An-32,D2-FDP,Associação dos Pilotos de Angola,0,near Malange Airp...,,,A1
4/5/2001,Beech 200 Super King Air,YV-O-SATA-6,SATA,0,Las Majaguas,,,A1
4/7/2001,Beech 100 King Air,C-FWPN,Alberta Central Airways,0,Grande Prair...,,,A1
4/10/2001,Antonov An-12BK,3C-AWU,Air West,0,near Nouadhibou A...,,,A1
