Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,CumulativeDeaths,Ground,Summary
11/24/1928,,"Edgerton, Ohio",Universal Airlines,,Cleveland - Chicago,Hamilton H-47,,46,3,3,3,0,The mail plane crashed in a heavy snow storm.
10/28/1930,,"Prince Rupert, BC, Canada",Alaska-Washington Airways,,,Lockheed Vega,NC103W,120,3,3,6,0,
7/21/1931,,"Centralia, Illinois",American Airways,,,Pitcairn PA-6 Mailwing,,,1,1,7,0,
8/9/1931,8:40,"Cincinnati, Ohio",American Airways,,,Ford 5-AT-C Tri Motor,NC9662,5AT-029,6,6,13,0,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.
9/14/1931,20:00,"Chicago, Illinois",Chicago-Detroit Airways,,,Lockheed Vega,NC606,,1,1,14,0,Crashed in a severe rainstorm while attempting to land.
12/31/1931,,"Springfield, Ohio",American Airways,,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,,,5,4,18,0,"Under orders from his supervisor, the pilot took off in extremely poor weather conditions. After encountering fog he attempted to turn back to the airport but a wing tip struck a knoll and the plane crashed."
1/21/1932,,"Colvin Park, Ilinois",Northwest Airways,,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,,,1,1,19,0,Crashed in heavy fog a few minutes after taking off from Rockford. A witness said the plane caught fire after an explosion in mid air and crashed.
2/2/1932,,"Marcellus, Michigan",Transamerican Airlines,,Chicago - Kalamazoo,Stearman C-3MB,,,1,1,20,0,Mail plane crashed.
3/19/1932,,"Calimesa, California",American Airways,,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,,1027,7,7,27,0,Crashed into an orchard after striking power lines in fog.
9/8/1932,c:09:00,"Salt Flats, Texas",American Airways,,El Paso - Dallas,Fokker F-10,NC9716,,4,3,30,0,The mail plane struck a mountain and burned encountering poor weather conditions.
9/18/1932,,"Byron Bay, Australia",New England Airways,,,De Havilland DH-80,VH-UPM,,3,3,33,0,
1/20/1933,,"Marietta, Georgia",American Airways,,,Stearman 4,N490W,,1,1,34,0,
1/20/1933,2:07,"Bourne, Texas",American Airways,,Big Springs - San Antonio,Stearman 4,NC11721,,1,1,35,0,The pilot of the mail plane lost his bearings and crashed into the hillside in poor visibility.
10/10/1933,21:00,"Chesterton, Indiana",United Air Lines,,Cleveland - Chicago,Boeing 247-D,NC13304,1685,10,10,45,0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. This was the first proven case of sabotage in the history of commercial aviation."
11/9/1933,22:35,"Portland, Oregon",United Air Lines,,"Seattle, WA - Dallas, TX",Boeing 247,NC13345,,9,4,49,,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.
3/6/1934,,"Petersburg, Illinois",American Airways,,"St. Louis, MO - Chicago, IL",Fairchild Pilgrim 100A,NC710Y,6606,4,4,53,0,Crashed into a snow drift due to icing in a blizzard.
6/9/1934,,"Mongaup Mountain, New York",American Airways,,New York - Chicago,Curtiss Condor T-32,NC12354,22,7,7,60,0,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route."
12/22/1934,2:52,"Sunbright, Tennessee",American Airlines,,"Louisville, KY - Nashville, TN",Lockheed Orion 9D,NC12286,,1,1,61,0,"Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility."
5/28/1935,,"Maywood, Illinois",Chicago and Southern Airlines,,Chicago - St. Louis,Stinson SM6000B Tri-motor,NC10894,,2,2,63,0,Crashed into the ground on a farm at high speed.
8/14/1935,23:45,"Near Gilmer, Texas",Delta Air Lines,4,Dallas -  Atlanta,Stinson Model A,NC14599,9103,4,4,67,0,Crashed 3 miles south of Gilmer. The outboard engine separated from the aircraft after a propeller blade broke off resulting in an imbalanced condition which led to loss of control of the aircraft.
10/7/1935,2:19,"Near Cheyenne, Wyoming",United Air Lines,4,Salt Lake City - Cheyenne,Boeing 247D,NC13317,1698,12,12,79,0,"While flying in a normal, slightly descending path, the aircraft  first collided with the ground just a few feet  below the top of a small knoll tearing out both engines and engine nacelles. It then rebounded and continued through the air for a distance of 1,120 feet, where it came to rest.  Error on the part of the pilot in executing an abrupt maneuver with insufficient altitude for safety and failure of the pilot to maintain proper control of the aircraft during this maneuver."
10/30/1935,19:40,"Cheyenne, Wyoming",United Air Lines,,Test flight,Boeing B-247-D,NC13323,1704,4,4,83,0,Crashed into a hill in poor weather conditions 5 miles south of Cheyenne. Test flight. Poor judgment by the pilot for executing an abrupt maneuver with insufficient altitude for safety and  failure of the pilot to maintain proper control of the aircraft during this maneuver.
