Year,Deaths, est. Vehicles (millions),est. Vehicle miles (billions),est. Drivers (millions),"Deaths per 10,000 motor vehicles","Deaths per 100,000,000 vehicle miles","Deaths per 100,000 vehicle miles","Deaths per 100,000 population",,,,,,,,,,,,,,,,,,
1913,"4,200",1.3,,2.0,33.38,,,4.4,,,,,,,,,,,,,,,,,,
1914,"4,700",1.8,,3.0,26.65,,,4.8,,,,,,,,,,,,,,,,,,
1915,"6,600",2.5,,3.0,26.49,,,6.6,,,,,,,,,,,,,,,,,,
1916,"8,200",3.6,,5.0,22.66,,,8.1,,,,,,,,,,,,,,,,,,
1917,"10,200",5.1,,7.0,19.93,,,10.0,,,,,,,,,,,,,,,,,,
1918,"10,700",6.2,,9.0,17.37,,,10.3,,,,,,,,,,,,,,,,,,
1919,"11,200",7.6,,12.0,14.78,,,10.7,,,,,,,,,,,,,,,,,,
1920,"12,500",9.2,,14.0,13.53,,,11.7,,,,,,,,,,,,,,,,,,
1921,"13,900",10.5,,16.0,13.25,,,12.9,,,,,,,,,,,,,,,,,,
1922,"15,300",12.3,,19.0,12.47,,,13.9,,,,,,,,,,,,,,,,,,
1923,"18,400",15.1,85,22.0,12.18,21.65,0.0216,16.5,,,,,,,,,,,,,,,,,,
1924,"19,400",17.6,104,26.0,11.02,18.65,0.0187,17.1,,,,,,,,,,,,,,,,,,
1925,"21,900",20.1,122,30.0,10.89,17.95,0.0180,19.1,,,,,,,,,,,,,,,,,,
1926,"23,400",22.2,141,33.0,10.54,16.59,0.0166,20.1,,,,,,,,,,,,,,,,,,
1927,"25,800",23.3,158,34.0,11.07,16.33,0.0163,21.8,,,,,,,,,,,,,,,,,,
1928,"28,000",24.7,173,37.0,11.34,16.18,0.0162,23.4,,,,,,,,,,,,,,,,,,
1929,"31,200",26.7,197,40.0,11.69,15.84,0.0158,25.7,,,,,,,,,,,,,,,,,,
1930,"32,900",26.7,206,40.0,12.32,15.97,0.0160,26.7,,,,,,,,,,,,,,,,,,
1931,"33,700",26.1,216,39.0,12.91,15.60,0.0156,27.2,,,,,,,,,,,,,,,,,,
1932,"29,500",24.4,200,36.0,12.09,14.75,0.0148,23.6,,,,,,,,,,,,,,,,,,
1933,"31,363",24.2,201,35.0,12.96,15.60,0.0156,25.0,,,,,,,,,,,,,,,,,,
1934,"36,101",25.3,216,37.0,14.27,16.71,0.0167,28.6,,,,,,,,,,,,,,,,,,
1935,"36,369",26.5,229,39.0,13.72,15.88,0.0159,28.6,,,,,,,,,,,,,,,,,,
1936,"38,089",28.5,252,42.0,13.36,15.11,0.0151,29.7,,,,,,,,,,,,,,,,,,
1937,"39,643",30.1,270,44.0,13.19,14.68,0.0147,30.8,,,,,,,,,,,,,,,,,,
1938,"32,582",29.8,271,44.0,10.93,12.02,0.0120,25.1,,,,,,,,,,,,,,,,,,
1939,"32,386",31.0,285,46.0,10.44,11.35,0.0114,24.7,,,,,,,,,,,,,,,,,,
1940,"34,501",32.5,302,48.0,10.63,11.42,0.0114,26.1,,,,,,,,,,,,,,,,,,
1941,"39,969",34.9,334,52.0,11.45,11.98,0.0120,30.0,,,,,,,,,,,,,,,,,,
1942,"28,309",33.0,268,49.0,8.58,10.55,0.0106,21.1,,,,,,,,,,,,,,,,,,
1943,"23,823",30.9,208,46.0,7.71,11.44,0.0115,17.8,,,,,,,,,,,,,,,,,,
1944,"24,282",30.5,213,45.0,7.97,11.42,0.0114,18.3,,,,,,,,,,,,,,,,,,
1945,"28,076",31.0,250,46.0,9.05,11.22,0.0112,21.2,,,,,,,,,,,,,,,,,,
1946,"33,411",34.4,341,50.0,9.72,9.80,0.0098,23.9,,,,,,,,,,,,,,,,,,
1947,"32,697",37.8,371,53.0,8.64,8.82,0.0088,22.8,,,,,,,,,,,,,,,,,,
