STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,CITY,DAYNAME,MONTH,MONTHNAME,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,ROUTE,Rurality,FUNC_SYS,LATITUDE,LONGITUDE,SP_JUR,HARM_EV,MAN_COLL,RELJCT2NAME,Type_Intersection,WRK_ZONE,REL_ROAD,REL_ROADNAME,LGT_COND,WEATHER1,WEATHER,SCH_BUSNAME,CF1,Fatalities,DRUNK_DRIVER
Illinois,170001,2,2,0,5,5,0,MCDONOUGH (109),NOT APPLICABLE,22,1,January,3,Tuesday,10,10:00am-10:59am,State Highway,Rural,Minor Arterial,40.52106667,-90.5044,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Rain,Rain,No,None,1,0
Illinois,170002,1,1,0,3,3,0,KANKAKEE (91),NOT APPLICABLE,3,1,January,5,Thursday,18,6:00pm-6:59pm,County Road,Rural,Major Collector,41.02142222,-87.70279444,No Special Jurisdiction,Ditch,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Not Lighted,Clear,Clear,No,None,1,1
Illinois,170003,2,2,0,6,6,0,BUREAU (11),NOT APPLICABLE,2,1,January,4,Wednesday,2,2:00am-2:59am,Interstate,Rural,Interstate,41.38650556,-89.79788333,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Not Lighted,Clear,Clear,No,None,1,0
Illinois,170005,2,2,0,2,2,0,COOK (31),NOT APPLICABLE,6,1,January,1,Sunday,2,2:00am-2:59am,Interstate,Urban,Interstate,41.545225,-87.74308889,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Lighted,Clear,Clear,No,Backup Due to Prior Crash,1,0
Illinois,170006,2,2,0,2,2,0,SALINE (165),NOT APPLICABLE,6,1,January,1,Sunday,13,1:00pm-1:59pm,U.S. Highway,Rural,Principal Arterial - Other,37.75651667,-88.51281111,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Non-Junction,Not an Intersection,None,1,On Roadway,Daylight,Clear,Clear,No,None,1,0
Illinois,170007,1,1,0,1,1,0,CUMBERLAND (35),NOT APPLICABLE,7,1,January,2,Monday,19,7:00pm-7:59pm,State Highway,Rural,Minor Arterial,39.258525,-88.21491389,No Special Jurisdiction,Embankment,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Not Lighted,Clear,Clear,No,None,1,1
Illinois,170008,1,1,0,1,1,0,WILL (197),NOT APPLICABLE,5,1,January,7,Saturday,15,3:00pm-3:59pm,Local Street - Township,Urban,Local,41.46871389,-87.95924167,No Special Jurisdiction,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Daylight,Clear,Clear,No,None,1,0
Illinois,170011,2,2,0,7,7,0,COOK (31),CHICAGO,11,1,January,6,Friday,1,1:00am-1:59am,Local Street - Municipality,Urban,Principal Arterial - Other,41.88684444,-87.63015278,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Rear,Intersection,T-Intersection,None,1,On Roadway,Dark - Lighted,Clear,Clear,No,None,1,0
Illinois,170012,2,2,0,2,2,0,WOODFORD (203),NOT APPLICABLE,2,1,January,4,Wednesday,7,7:00am-7:59am,County Road,Rural,Major Collector,40.91146944,-89.12902222,No Special Jurisdiction,Motor Vehicle In-Transport,Front-to-Front,Non-Junction,Not an Intersection,None,1,On Roadway,Dark - Not Lighted,Freezing Rain or Drizzle,Freezing Rain or Drizzle,No,None,1,0
Illinois,170013,1,1,0,1,1,0,COOK (31),CHICAGO,12,1,January,7,Saturday,0,0:00am-0:59am,Local Street - Municipality,Urban,Minor Arterial,41.77751389,-87.79224167,No Special Jurisdiction,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Non-Junction,Not an Intersection,None,4,On Roadside,Dark - Lighted,Clear,Clear,No,None,1,0
