 Investigation Type , Accident Number , Event Date , Location , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Publication Date 
 Accident , SEA08CA056 ,12/31/2007," Santa Ana, CA ",33.675556,-117.868056, SNA , John Wayne - Orange County , Non-Fatal , Substantial , Airplane , N2800D , Piper , PA-12 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,2/28/2008
 Accident , LAX08FA043 ,12/30/2007," Paso Robles, CA ",35.542222,-120.522778, PRB , Paso Robles Airport , Fatal(1) , Substantial , Airplane , N254SR , Cirrus Design Corp. , SR22 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,,,, VMC , MANEUVERING ,6/20/2014
 Accident , DEN08CA045 ,12/29/2007," Gunnison, CO ",38.533889,-106.933056,  ,  , Non-Fatal , Substantial , Airplane , N33MF , Piper , PA-46-310P ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,5, VMC , TAKEOFF ,2/28/2008
 Accident , CHI08CA058 ,12/29/2007," Crystal Falls, MI ",46.8,-88.36,  ,  , Non-Fatal , Substantial , Airplane , N8191U , Cessna , 172F ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,2/28/2008
 Accident , CHI08CA056 ,12/29/2007," Abingdon, IL ",40.799722,-90.438611,  ,  , Non-Fatal , Substantial , Airplane , N94131 , Ercoupe (Eng & Research Corp.) , 415D ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , MANEUVERING ,2/28/2008
 Accident , DFW08CA051 ,12/28/2007," Houston, TX ",29.935,-95.639444, EYQ , WEISER AIR PARK , Non-Fatal , Substantial , Airplane , N1458U , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,1/31/2008
 Accident , CHI08FA055 ,12/27/2007," Traverse City, MI ",44.737222,-85.5275, TVC , Cherry Capital Airport , Fatal(1) , Destroyed , Airplane , N37249 , CESSNA , 310R ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,1,,, IMC , APPROACH ,8/5/2011
 Accident , SEA08CA052 ,12/26/2007," Fullerton, CA ",33.871945,-117.979723, FUL , Fullerton Municipal , Non-Fatal , Substantial , Airplane , N13974 , Cessna , 172S ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , TAXI ,2/28/2008
 Accident , NYC08LA070 ,12/26/2007," Pittstown, NJ ",40.5875,-75.019167, N85 , Alexandria Airport , Non-Fatal , Substantial , Airplane , N9412X , CESSNA , 182R ,1, Reciprocating , Part 91: General Aviation , NSCH , Personal ,  ,0,0,0,1, VMC , TAKEOFF ,2/25/2009
 Accident , MIA08LA032 ,12/26/2007," Sarasota, FL ",27.390555,-82.552778, SRQ , Sarasota/Bradenton Intl , Non-Fatal , Substantial , Airplane , N5875Q , Mooney , M20E ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,0,0,2,0, VMC , TAKEOFF ,1/14/2009
 Accident , MIA08CA045 ,12/26/2007," Northampton, MA ",42.328056,-72.611389, K7B2 , Northampton , Non-Fatal , Substantial , Airplane , N5425K , Cessna , 172P ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , TAKEOFF ,2/28/2008
 Accident , ANC08LA030 ,12/26/2007," North Pole, AK ",65.765278,-147.390555, 95Z , Bradley Sky-Ranch Airport , Non-Fatal , Substantial , Airplane , N7637D , PIPER , PA-22-150 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , GO-AROUND ,12/11/2008
 Accident , SEA08LA051 ,12/25/2007," Honolulu, HI ",21.318611,-157.9225, HNL , Honolulu International , Non-Fatal ,  , Airplane , N819NW , Airbus Industrie , A330-323 ,2, Turbo Fan , Part 121: Air Carrier , SCHD ,  ," Northwest Airlines, Inc. ",0,1,3,291, VMC , CRUISE ,1/14/2009
 Accident , SEA08LA050 ,12/25/2007," Ontario, CA ",34.056111,-117.601111, ONT , Ontario International , Non-Fatal ,  , Airplane , N943AS , MCDONNELL DOUGLAS , DC-9-83 ,2, Turbo Fan , Part 121: Air Carrier , SCHD ,  ," Alaska Airlines, Inc. ",0,2,0,112, VMC , DESCENT ,1/14/2009
 Accident , SEA08CA053 ,12/23/2007," Truckee, CA ",39.472778,-120.3325,  ,  , Non-Fatal , Substantial , Airplane , N9086Y , Piper , PA-18-150 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , CRUISE ,2/28/2008
